sample_created_date,mean_value_scaled
2009-07-08,0.0007389537284562388
2009-07-14,0.001775748351090817
2009-07-15,0.002695007715546282
2009-07-16,0.07920258620689655
2009-07-17,0.003977309773749755
2009-08-18,0.08795725441841347
2009-08-20,0.04742268041237113
2009-08-21,0.0
2009-09-02,0.040197193780811526
2009-09-06,0.05953735305271141
2009-09-06,0.003151420312533959
2009-09-10,0.03830109973454683
2009-09-12,0.020420184567052815
2009-09-13,0.0011838322340605447
2009-09-15,0.0037921880925293897
2009-09-16,0.001282302058203473
2009-09-17,0.06855670103092783
2009-09-18,0.022629310344827586
2009-09-19,0.043978627209206735
2009-09-21,0.04310344827586206
2009-09-28,0.025132534851757315
2009-09-30,0.12020202020202019
2009-10-01,0.0012069196727906657
2009-10-06,0.0002536783358701167
2009-10-08,0.012173571568819949
2009-10-10,0.09105603448275862
2009-10-14,0.0003270111183780248
2009-10-16,0.002455934450457499
2009-10-17,0.020098596890405766
2009-10-17,0.02502844141069397
2009-10-19,0.08118556701030925
2009-10-19,0.08170103092783502
2009-10-20,0.0
2009-10-22,0.07243079256731134
2009-10-25,0.0
2009-10-27,0.0
2009-10-27,0.0
2009-10-27,0.006283133712939329
2009-10-29,0.0026160889470241986
2009-10-30,0.006346308491447697
2009-11-03,0.004411988437547543
2009-11-04,0.0
2009-11-05,0.011666890170309778
2009-11-05,0.010057663939922221
2009-11-05,0.01099637924098163
2009-11-09,0.01182325965529982
2009-11-14,0.0014375105699306614
2009-11-19,0.004658251964753513
2009-11-23,0.09935532802427001
2009-11-23,0.009480470231323474
2009-11-27,0.09428879310344826
2009-12-02,0.043156596794081376
2009-12-09,0.015369522563767167
2009-12-09,0.0026160889470241986
2009-12-13,0.12135001896094047
2009-12-17,0.005976831627219578
2009-12-24,0.036878101113048144
2009-12-26,0.016677567037279264
2009-12-27,0.018581721653394008
2009-12-29,0.0010214948599248006
2009-12-30,0.1647058823529412
2009-12-30,0.0
2009-12-30,0.5882352941176471
2010-01-01,0.3432112068965517
2010-01-01,0.008620689655172414
2010-01-04,0.01931771475544595
2010-01-04,0.3522400328812166
2010-01-08,0.012762615354408011
2010-01-08,0.006675829569998036
2010-01-08,0.012173571568819949
2010-01-08,1.0
2010-01-08,0.03141566856469664
2010-01-08,0.007461221284115452
2010-01-12,0.2158249158249158
2010-01-12,0.03737373737373737
2010-01-12,0.17104377104377103
2010-01-12,0.9289562289562289
2010-01-13,0.07758620689655171
2010-01-14,0.0016517789224315923
2010-01-14,0.0004998804633674556
2010-01-14,0.001108430592684358
2010-01-14,0.0016300449892417029
2010-01-18,0.06494040279490339
2010-01-19,0.005737758362130795
2010-01-21,0.03593167092087179
2010-01-28,0.032826124123781844
2010-01-29,0.0940721649484536
2010-01-31,0.006213211249182473
2010-02-02,0.0011838322340605447
2010-02-04,0.0029123470474451763
2010-02-09,0.06674251042851725
2010-02-22,0.008516313407954276
2010-02-25,0.27417519908987487
2010-03-02,0.01760984783723713
2010-03-06,0.0
2010-03-08,0.10829741379310344
2010-03-09,0.005886200130804447
2010-03-11,0.005759492295320684
2010-03-13,0.03792188092529389
2010-03-21,0.04849979449239621
2010-03-23,0.011755783086841108
2010-03-28,0.0010764467730412005
2010-04-07,0.0013040359913933624
2010-04-10,0.0
2010-04-11,0.08552188552188551
2010-04-14,0.0028254113146856186
2010-04-14,0.003042750646584512
2010-04-15,0.009480470231323474
2010-04-17,0.0021551724137931034
2010-04-18,0.0016952467888113711
2010-04-20,0.03450891164201744
2010-04-23,0.0029123470474451763
2010-04-29,0.0392695857058708
2010-04-29,0.0038251722414205293
2010-05-02,0.02502844141069397
2010-05-04,0.0871352240032881
2010-05-08,0.24410774410774408
2010-05-10,0.003151420312533959
2010-05-17,0.0360257868790292
2010-05-22,0.0004517761255679472
2010-05-23,0.00750972240847526
2010-05-24,0.06560485400075844
2010-05-26,0.0008763991426530127
2010-05-28,0.06120704393913489
2010-05-29,0.023954447280581194
2010-05-31,0.017474965639112508
2010-06-03,0.0
2010-06-03,0.0019125861207102647
2010-06-04,0.47058823529411764
2010-06-06,0.03526734926052332
2010-06-11,0.14536082474226802
2010-06-12,0.006281106691878029
2010-06-13,0.13933415536374844
2010-06-15,0.022753128555176336
2010-06-17,0.003868640107800308
2010-06-22,0.001962371993331746
2010-06-23,0.00025720409621338413
2010-06-24,0.012135001896094046
2010-06-26,0.007963594994311719
2010-06-28,0.08836206896551722
2010-07-02,0.08459051724137931
2010-07-02,0.06987258528565556
2010-07-06,0.0007809273027674515
2010-07-09,0.07920258620689655
2010-07-11,0.12607758620689655
2010-07-15,0.017444065225635193
2010-07-19,0.0015908549654679686
2010-07-21,0.0035426311099519677
2010-07-24,0.08512931034482758
2010-07-26,0.07736063708759953
2010-07-27,0.01381252514415985
2010-07-29,0.9035560344827586
2010-08-11,0.010497489730716568
2010-08-12,0.0
2010-08-12,0.00600142891164563
2010-08-14,0.0824353448275862
2010-08-15,0.04664948453608247
2010-08-18,0.8005232177894049
2010-08-19,0.10959138314241751
2010-08-20,0.0011838322340605447
2010-08-23,0.13686806411837235
2010-08-24,0.07644882860665844
2010-08-25,0.023809523809523808
2010-08-25,0.7474747474747475
2010-08-28,0.6326599326599326
2010-08-30,0.058778915434205534
2010-09-03,0.04687499999999999
2010-09-07,0.0014375105699306614
2010-09-08,0.0038903740409901976
2010-09-11,0.017241379310344827
2010-09-15,0.011564658251964757
2010-09-16,0.0
2010-09-17,0.01770148853426311
2010-09-18,0.11452408039438755
2010-09-20,0.057953144266337846
2010-09-22,0.1946127946127946
